claim_id,claim,evidence_status,publication_rule
C1,The repaired DeepSeek baseline completes 174/417 AppWorld test_challenge tasks (41.73% TGC).,measured,allowed
C2,The same baseline reaches 41/139 complete scenarios (29.50% SGC).,measured,allowed
C3,SafeDesk improves AppWorld test_challenge TGC from 41.73% to 61.39% (+19.66pp).,simulated_projection,prohibited_until_measured
C4,SafeDesk reduces false-completion rate from 46.79% to 16.61% (relative reduction 64.5%).,simulated_projection,prohibited_until_measured
C5,SafeDesk reduces max-turn rate from 21.82% to 10.07%.,simulated_projection,prohibited_until_measured
C6,"SafeDesk reduces average per-task token consumption from 484,350 to 287,770 (40.6% reduction).",simulated_projection,prohibited_until_measured
C7,SafeDesk reduces invalid call rate from 3.71% to 0.80% and duplicate write rate from 6.97% to 1.33%.,simulated_projection,prohibited_until_measured
C8,SafeDesk improves tau2-bench 3-domain macro-average pass@1 from 80.98% to 86.95% (+5.97pp) and pass@4 from 50.95% to 63.22% (+12.27pp).,simulated_projection,prohibited_until_measured
C9,Cumulative ablation (A0->A4) shows monotonic improvement.,simulated_projection,prohibited_until_measured
C10,Leave-one-out ablation (B1-B4) shows each module necessary for peak performance.,simulated_projection,prohibited_until_measured
