claim_id,claim,evidence_status,evidence,publication_rule
C1,The repaired DeepSeek baseline completes 174/417 AppWorld test_challenge tasks (41.73% TGC).,measured,benchmarks/results/appworld_deepseek_v4_flash_no_thinking_test_challenge_aligned/summary.json,allowed
C2,The same baseline reaches 41/139 complete scenarios (29.50% SGC).,measured,benchmarks/results/appworld_deepseek_v4_flash_no_thinking_test_challenge_aligned/summary.json,allowed
C3,"Failed AppWorld tasks use substantially more turns, calls, and tokens than successful tasks.",measured_descriptive,paper/data/appworld_efficiency_by_outcome.csv,allowed
C4,Out-of-schema and duplicate-call markers are associated with lower task success.,measured_association,paper/data/appworld_failure_associations.csv,allowed_with_noncausal_caveat
C5,SafeDesk improves AppWorld TGC/SGC.,pending,E4/E5 not run,prohibited_until_measured
C6,SafeDesk reduces token use.,pending,A0-A4 not run,prohibited_until_measured
C7,SafeDesk prevents false completion.,pending,requires matched completion audit,prohibited_until_measured
C8,The four core modules and unified runtime are implemented.,implementation_fact,paper/data/implementation_inventory.json,allowed_with_test-status_caveat
C9,The 5-trace shadow audit would block four completion attempts under conservative missing-contract rules.,diagnostic,benchmarks/results/agentgate_state_verification_shadow/audits/appworld_deepseek_v4_flash_no_thinking_challenge_alignment_smoke_5/shadow_audit_summary.json,allowed_as_diagnostic_only
C10,The historical test_normal result is a valid final baseline.,invalid,benchmarks/results/appworld_deepseek_v4_flash_no_thinking_test_normal/summary.json,prohibited
