display_name,field,definition,unit,reporting_role
TGC,task_goal_completion,successful tasks / all valid tasks,task,primary
SGC,scenario_goal_completion,scenarios whose three variants all pass / complete scenarios,scenario,primary
Evaluator test pass rate,evaluator_test_pass_rate,passed evaluator checks / all evaluator checks,check,diagnostic
False-completion candidate rate,false_completion_candidate_rate,failed tasks that invoked completion / tasks that invoked completion,task,diagnostic; trace review required for causal label
Max-Turn Rate,max_turn_rate,tasks reaching configured turn cap / valid tasks,task,primary reliability
Invalid Call Rate,invalid_call_rate,invalid proposed calls / all model-proposed calls,call,primary reliability
Out-of-Schema Rate,out_of_schema_call_rate,calls absent from active schema / all model-proposed calls,call,primary reliability
Duplicate Call Rate,duplicate_call_rate,semantic or exact duplicate calls / executed calls,call,primary efficiency
Duplicate Write Rate,duplicate_write_action_rate,duplicate write actions / executed write actions,write call,primary safety
Verification coverage,verification_coverage,verified required effects / required effects,effect,SafeDesk pending
Verification failure rate,verification_failure_rate,failed verification checks / executed verification checks,check,SafeDesk pending
Recovery success rate,recovery_success_rate,successful recoveries / triggered recoveries,recovery,SafeDesk pending
Average tokens,avg_tokens_per_task,total reported tokens / valid tasks,task,primary efficiency
P95 tokens,p95_tokens_per_task,95th percentile of per-task total tokens,task,primary efficiency
Average duration,avg_duration_seconds,mean monotonic wall-clock duration over valid values,task,secondary efficiency
Unintended side effects,num_unintended_side_effects,verified changes outside the task contract,effect,manual/evaluator-backed only
